site,collection_date,YYYYMMDD,quadrat,plant,rhi_length,node1,node2,node3,node4,node5,leaf_length1,leaf_length2,leaf_length3,leaf_length4,leaf_length5,leaf_length6,leaf_length7,leaf_length8,leaf_length9,leaf_length10,leaf_width1,leaf_width2,leaf_width3,leaf_width4,leaf_width5,leaf_width6,leaf_width7,leaf_width8,leaf_width9,leaf_width10,eff_leaf_area1,eff_leaf_area2,eff_leaf_area3,eff_leaf_area4,eff_leaf_area5,eff_leaf_area6,eff_leaf_area7,eff_leaf_area8,eff_leaf_area9,eff_leaf_area10,tot_leaf_area_cmsq,pad_mass_g,pad_epihpyte_mass_g,epiphyte_mass_g,epi_mg_shoot_g,epi_mg_shoot_sqcm,rhi_mass_fw,rhi_foil,rhi_foil_dw_g,rhi_dw_g,root_per_moisture,shoot_mass_fw,shoot_foil,shoot_foil_dw,shoot_dw,shoot_per_moisture,xs_shoot_mass_fw,xs_shoot_foil,xs_shoot_foil_dw,xs_shoot_mass,xs_pad_mass_g,xs_epiphyte_pad_mass_g,xs_epiphyte_mass_g,iso_count,iso_fw,iso_foil,iso_foil_dw,iso_dw,gamm_amph_count,gamm_amph_fw,gamm_amph_foil,gamm_amph_foil_dw,gamm_amph_dw,caprel_count,caprel_fw,caprel_foil,caprel_foil_dw,caprel_dw,limpet_count,limpet_fw,limpet_foil,limpet_foil_dw,limpet_dw,gastropod_count,gastropod_fw,gastropod_foil,gastropod_foil_dw,gastropod_dw,crab_count,crab_fw,crab_foil,crab_foil_dw,crab_dw,polychaete_count,other_animal_notes,notes
2017_L_01,29/4/17,20170429,1,1,3.4,0.4,0.3,0.2,0.2,0.2,20.6,18.2,18,10.5,4.6,,,,,,0.2,0.2,0.2,0.2,0.2,,,,,,8.24,7.28,7.2,4.2,1.84,0,0,0,0,0,28.76,,,0,,0,0.2749,0.8238,0.8711,0.0473,82.79374318,0.2888,0.8035,0.8559,0.0524,81.85595568,0.9636,0.549,0.6736,0.1246,,,,0,,,,0,0,,,,0,0,,,,0,1,0.0045,0.5109,0.5129,0.002,,limpet = Lottia parallela,,,0,,,,,,1,,
2017_L_01,29/4/17,20170429,1,2,5.0,0.8,0.8,0.5,0.3,0.3,18,20.2,22,16,5.5,,,,,,0.3,0.3,0.3,0.4,0.4,,,,,,10.8,12.12,13.2,12.8,4.4,0,0,0,0,0,53.32,,,0,,0,0.5695,0.7346,0.8211,0.0865,84.81123793,0.4634,0.7786,0.8605,0.0819,82.32628399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,1,3,3.2,0.1,0.1,0.2,0.2,0.2,8.2,4.7,4.5,,,,,,,,0.2,0.2,0.2,,,,,,,,3.28,1.88,1.8,0,0,0,0,0,0,0,6.96,,,0,,0,0.2216,0.7462,0.777,0.0308,86.10108303,0.0818,0.8098,0.8204,0.0106,87.04156479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,1,4,1.5,0.1,0.2,0.2,0.1,0.1,22.4,8.6,15.6,16,11.5,,,,,,0.2,0.2,0.2,0.3,0.2,,,,,,8.96,3.44,6.24,9.6,4.6,0,0,0,0,0,32.84,,,0,,0,0.1598,0.8177,0.8418,0.0241,84.91864831,0.3032,0.8273,0.8737,0.0464,84.69656992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,1,5,1.6,0.3,0.3,0.2,0.1,0.2,15.8,16,21,11.7,,,,,,,0.2,0.2,0.2,0.2,,,,,,,6.32,6.4,8.4,4.68,0,0,0,0,0,0,25.8,,,0,,0,0.0794,0.8017,0.8116,0.0099,87.53148615,0.2655,0.8698,0.9104,0.0406,84.70809793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,2,1,5.0,0.3,0.2,0.2,0.2,0.3,17.6,17,9.3,13.1,,,,,,,0.2,0.2,0.2,0.2,,,,,,,7.04,6.8,3.72,5.24,0,0,0,0,0,0,22.8,,,0,,0,0.2772,0.751,0.7816,0.0306,88.96103896,0.1764,0.7368,0.7636,0.0268,84.80725624,1.9985,0.5372,0.6509,0.1137,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,,,,,0,,,,,,3,"1 ""non-grazing"" gastropod collected",
2017_L_01,29/4/17,20170429,2,2,1.7,0.4,0.2,0.3,0.3,,18.4,1.7,17.3,8.1,22.2,,,,,,0.3,0.3,0.2,0.2,0.2,,,,,,11.04,1.02,6.92,3.24,8.88,0,0,0,0,0,31.1,,,0,,0,0.1134,0.7593,0.776,0.0167,85.27336861,0.3353,0.656,0.7085,0.0525,84.34237996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,2,3,3.7,0.1,0.1,0.1,0.1,0.1,9.5,12,14,,,,,,,,0.2,0.2,0.2,,,,,,,,3.8,4.8,5.6,0,0,0,0,0,0,0,14.2,,,0,,0,0.1861,0.6436,0.6646,0.021,88.71574422,0.0972,0.7055,0.7185,0.013,86.6255144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,2,4,2.8,0.9,0.6,0.4,0.2,0.2,27.7,27.1,23.6,29.3,18.3,,,,,,0.3,0.4,0.2,0.3,0.3,,,,,,16.62,21.68,9.44,17.58,10.98,0,0,0,0,0,76.3,,,0,,0,0.2624,0.8132,0.8541,0.0409,84.41310976,0.561,0.5548,0.6526,0.0978,82.56684492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,2,5,2.0,0.5,0.4,0.2,0.2,,24,18.2,16.1,22.1,,,,,,,0.3,0.2,0.3,0.2,,,,,,,14.4,7.28,9.66,8.84,0,0,0,0,0,0,40.18,,,0,,0,0.2059,0.6992,0.7289,0.0297,85.5755221,0.3874,0.5962,0.6592,0.063,83.73773877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
